fault_id,session_id,raised_at,resolved_at,in_session,fault_class,root_cause_closed_at,sla_days,recurrence_of
F-0001,DIL-20260107-1,2026-01-07T12:22,2026-01-07T12:53,true,Sensor scaling,2026-01-14T12:22,5,
F-0002,DIL-20260108-2,2026-01-08T11:41,2026-01-08T11:53,true,Calibration mismatch,2026-01-11T11:41,5,
F-0003,DIL-20260108-2,2026-01-08T13:44,2026-01-08T14:40,true,Model interface,2026-01-10T13:44,5,
F-0004,DIL-20260112-3,2026-01-12T10:00,2026-01-12T10:20,true,Logging config,2026-01-24T10:00,5,
F-0005,DIL-20260112-3,2026-01-12T12:28,2026-01-12T13:10,true,Power-up sequence,2026-01-16T12:28,5,
F-0006,DIL-20260114-4,2026-01-14T11:02,2026-01-14T12:05,true,Power-up sequence,2026-01-15T11:02,5,
F-0007,DIL-20260115-5,2026-01-15T13:58,2026-01-15T14:31,true,Calibration mismatch,2026-01-27T13:58,5,
F-0008,DIL-20260119-6,2026-01-19T11:59,2026-01-19T12:26,true,Calibration mismatch,2026-01-26T11:59,5,
F-0009,DIL-20260119-6,2026-01-19T09:19,2026-01-19T09:41,true,Power-up sequence,2026-01-20T09:19,5,
F-0010,DIL-20260122-8,2026-01-22T13:58,2026-01-22T14:24,true,Power-up sequence,2026-01-23T13:58,5,
F-0011,DIL-20260126-9,2026-01-26T09:39,2026-01-26T10:03,true,CAN timeout,2026-01-27T09:39,5,F-0010
F-0012,DIL-20260126-9,2026-01-26T10:05,2026-01-26T10:30,true,Model interface,2026-01-30T10:05,5,F-0003
F-0013,DIL-20260128-10,2026-01-28T11:49,2026-01-28T12:06,true,Logging config,2026-02-01T11:49,5,
F-0014,DIL-20260129-11,2026-01-29T13:22,2026-01-29T14:07,true,CAN timeout,2026-01-31T13:22,5,
F-0015,DIL-20260202-1,2026-02-02T10:59,2026-02-02T11:36,true,Calibration mismatch,2026-02-03T10:59,5,
F-0016,DIL-20260204-2,2026-02-04T13:21,2026-02-04T14:05,true,Model interface,2026-02-08T13:21,5,
F-0017,DIL-20260205-3,2026-02-05T11:23,2026-02-05T11:46,true,Power-up sequence,2026-02-08T11:23,5,
F-0018,DIL-20260209-4,2026-02-09T12:46,2026-02-09T13:07,true,Model interface,2026-02-12T12:46,5,
F-0019,DIL-20260211-5,2026-02-11T10:04,2026-02-11T10:20,true,Sensor scaling,2026-02-14T10:04,5,
F-0020,DIL-20260212-6,2026-02-12T12:22,2026-02-12T12:49,true,Power-up sequence,2026-02-19T12:22,5,
F-0021,DIL-20260218-8,2026-02-18T10:27,2026-02-18T11:18,true,Sensor scaling,2026-02-27T10:27,5,
F-0022,DIL-20260219-9,2026-02-19T10:43,2026-02-19T11:10,true,Calibration mismatch,2026-02-26T10:43,5,
F-0023,DIL-20260223-10,2026-02-23T11:18,2026-02-23T11:46,true,CAN timeout,2026-02-25T11:18,5,
F-0024,DIL-20260225-11,2026-02-25T09:34,2026-02-25T10:04,true,Calibration mismatch,2026-02-28T09:34,5,
F-0025,DIL-20260225-11,2026-02-25T12:57,2026-02-25T13:56,true,Logging config,2026-03-02T12:57,5,
F-0026,DIL-20260226-12,2026-02-26T11:00,2026-02-26T11:35,true,CAN timeout,2026-03-07T11:00,5,
F-0027,DIL-20260302-1,2026-03-02T14:00,2026-03-02T14:10,true,Logging config,2026-03-03T14:00,5,
