release_id,event_at,spec_frozen_at,validated_at,session_day_intervention,rollback,defects_pre_release,escaped_sev1,escaped_sev2,escaped_sev3,hil_cases_run,hil_cases_passed,functions_total,functions_automated
SECU-2026.001,2026-01-25T08:00,2026-01-18T08:26,2026-01-24T21:01,false,false,10,0,0,1,40,40,84,26
SECU-2026.002,2026-01-25T08:00,2026-01-18T22:45,2026-01-24T23:42,false,false,6,0,1,1,40,39,84,26
SECU-2026.003,2026-01-07T08:00,2025-12-31T17:15,2026-01-06T16:26,true,false,8,0,0,0,40,40,84,26
SECU-2026.004,2026-02-17T08:00,2026-02-11T17:31,2026-02-16T12:30,true,false,5,0,0,0,52,52,84,31
SECU-2026.005,2026-02-27T08:00,2026-02-21T19:30,2026-02-26T10:43,true,true,8,0,0,1,52,52,84,31
SECU-2026.006,2026-02-09T08:00,2026-02-03T18:56,2026-02-08T22:41,false,false,5,0,0,1,52,52,84,31
SECU-2026.007,2026-03-24T08:00,2026-03-18T19:30,2026-03-23T06:00,false,false,8,0,1,0,65,64,84,36
SECU-2026.008,2026-03-15T08:00,2026-03-09T06:34,2026-03-14T16:02,true,false,8,0,1,1,65,65,84,36
SECU-2026.009,2026-04-27T08:00,2026-04-21T14:02,2026-04-26T02:06,false,false,7,0,0,0,77,77,84,41
SECU-2026.010,2026-04-25T08:00,2026-04-19T18:22,2026-04-24T00:48,false,false,10,0,0,1,77,76,84,41
SECU-2026.011,2026-04-10T08:00,2026-04-04T17:20,2026-04-09T02:53,false,false,10,0,0,0,77,77,84,41
SECU-2026.012,2026-05-07T08:00,2026-05-02T09:02,2026-05-06T07:13,false,false,10,0,0,1,90,90,84,46
SECU-2026.013,2026-05-26T08:00,2026-05-21T05:17,2026-05-25T00:08,false,false,6,0,0,0,90,90,84,46
SECU-2026.014,2026-06-15T08:00,2026-06-10T14:37,2026-06-14T00:27,false,false,12,0,0,1,102,101,84,51
SECU-2026.015,2026-06-26T08:00,2026-06-21T10:42,2026-06-24T22:01,false,false,8,0,1,0,102,101,84,51
SECU-2026.016,2026-06-23T08:00,2026-06-17T21:23,2026-06-21T15:59,false,false,11,0,0,0,102,101,84,51
SECU-2026.017,2026-07-19T08:00,2026-07-14T05:23,2026-07-17T11:24,false,false,14,0,0,0,115,115,84,57
SECU-2026.018,2026-07-20T08:00,2026-07-15T21:15,2026-07-18T19:07,false,false,14,0,0,1,115,115,84,57
SECU-2026.019,2026-07-15T08:00,2026-07-10T15:22,2026-07-13T08:53,false,false,10,0,0,0,115,115,84,57
SECU-2026.020,2026-08-09T08:00,2026-08-05T04:10,2026-08-07T15:34,false,false,13,0,0,0,128,127,84,62
SECU-2026.021,2026-08-23T08:00,2026-08-19T16:31,2026-08-21T15:37,false,false,14,0,0,0,128,128,84,62
