date,session_id,scheduled_minutes,productive_minutes,disruption_cause,control_faults,fault_restore_minutes,debrief_due,debrief_on_time,debrief_usefulness
2026-01-07,DIL-20260107-1,540,498,control_system,1,31,true,true,3.6
2026-01-08,DIL-20260108-2,480,425,control_system,2,68,true,true,3.7
2026-01-12,DIL-20260112-3,480,428,control_system,2,62,true,true,3.6
2026-01-14,DIL-20260114-4,480,427,control_system,1,63,true,true,3.5
2026-01-15,DIL-20260115-5,420,384,control_system,1,33,true,true,3.2
2026-01-19,DIL-20260119-6,420,377,control_system,2,49,true,true,3.6
2026-01-21,DIL-20260121-7,540,512,none,0,0,true,true,3.5
2026-01-22,DIL-20260122-8,480,444,control_system,1,26,true,true,3.8
2026-01-26,DIL-20260126-9,540,490,control_system,2,49,true,true,3.1
2026-01-28,DIL-20260128-10,420,391,control_system,1,17,true,true,3.5
2026-01-29,DIL-20260129-11,420,378,control_system,1,45,true,true,3.6
2026-02-02,DIL-20260202-1,480,442,control_system,1,37,true,false,3.2
2026-02-04,DIL-20260204-2,540,496,control_system,1,44,true,true,3.7
2026-02-05,DIL-20260205-3,540,505,control_system,1,23,true,false,3.8
2026-02-09,DIL-20260209-4,480,449,control_system,1,21,true,false,3.3
2026-02-11,DIL-20260211-5,540,508,control_system,1,16,true,false,3.9
2026-02-12,DIL-20260212-6,420,389,control_system,1,27,true,true,3.7
2026-02-16,DIL-20260216-7,540,516,none,0,0,true,true,3.5
2026-02-18,DIL-20260218-8,480,435,control_system,1,51,true,true,3.3
2026-02-19,DIL-20260219-9,480,446,control_system,1,27,true,true,3.4
2026-02-23,DIL-20260223-10,480,446,control_system,1,28,true,true,3.8
2026-02-25,DIL-20260225-11,480,418,control_system,2,89,true,true,3.7
2026-02-26,DIL-20260226-12,480,443,control_system,1,35,true,true,3.2
2026-03-02,DIL-20260302-1,540,514,control_system,1,10,true,true,3.9
2026-03-04,DIL-20260304-2,540,499,it,0,0,true,true,3.3
2026-03-05,DIL-20260305-3,480,461,none,0,0,true,true,3.3
2026-03-09,DIL-20260309-4,480,447,control_system,1,32,true,true,4.0
2026-03-11,DIL-20260311-5,480,444,control_system,1,39,true,true,4.0
2026-03-12,DIL-20260312-6,480,441,vehicle_model,0,0,true,true,4.0
2026-03-16,DIL-20260316-7,480,448,control_system,1,29,true,true,3.9
2026-03-18,DIL-20260318-8,420,393,control_system,1,23,true,true,3.5
2026-03-19,DIL-20260319-9,480,445,control_system,2,35,true,true,3.4
2026-03-23,DIL-20260323-10,540,498,control_system,1,47,true,true,3.8
2026-03-25,DIL-20260325-11,480,446,control_system,1,34,true,true,3.6
2026-03-26,DIL-20260326-12,480,449,other,0,0,true,false,3.9
2026-03-30,DIL-20260330-13,540,519,none,0,0,true,true,3.9
2026-04-01,DIL-20260401-1,420,399,control_system,1,15,true,true,4.1
2026-04-02,DIL-20260402-2,540,500,control_system,2,48,true,true,3.7
2026-04-06,DIL-20260406-3,480,461,control_system,1,8,true,true,3.6
2026-04-08,DIL-20260408-4,480,447,control_system,2,39,true,true,3.8
2026-04-09,DIL-20260409-5,540,514,control_system,1,17,true,false,4.0
2026-04-13,DIL-20260413-6,540,501,control_system,2,46,true,true,3.9
2026-04-15,DIL-20260415-7,420,385,control_system,2,48,true,true,3.9
2026-04-16,DIL-20260416-8,480,464,none,0,0,true,true,3.9
2026-04-20,DIL-20260420-9,420,395,control_system,1,24,true,true,3.5
2026-04-22,DIL-20260422-10,420,395,control_system,1,25,true,true,4.2
2026-04-23,DIL-20260423-11,480,453,control_system,1,24,true,false,3.5
2026-04-27,DIL-20260427-12,540,522,none,0,0,true,true,4.0
2026-04-29,DIL-20260429-13,420,398,control_system,1,18,true,true,4.1
2026-04-30,DIL-20260430-14,540,491,control_system,2,68,true,true,3.5
2026-05-04,DIL-20260504-1,420,399,control_system,1,21,true,false,3.8
2026-05-06,DIL-20260506-2,540,520,control_system,1,12,true,true,4.3
2026-05-07,DIL-20260507-3,480,456,control_system,1,24,true,true,3.9
2026-05-11,DIL-20260511-4,480,457,control_system,1,23,true,true,4.2
2026-05-13,DIL-20260513-5,540,525,none,0,0,true,true,3.8
2026-05-14,DIL-20260514-6,540,525,none,0,0,true,true,3.9
2026-05-18,DIL-20260518-7,480,459,control_system,1,17,true,true,3.9
2026-05-20,DIL-20260520-8,540,515,control_system,1,22,true,true,3.9
2026-05-21,DIL-20260521-9,480,459,control_system,1,17,true,true,3.8
2026-05-25,DIL-20260525-10,480,446,control_system,2,47,true,true,3.8
2026-05-27,DIL-20260527-11,480,459,control_system,1,17,true,true,4.3
